CMpgH9oPqb8J|A_health_iot_platform_based_on_the_integration_of_intelligent_packaging_unobtrusive_bio_sensor_and_intelligent_medicine_box|A health-iot platform based on the integration of intelligent packaging, unobtrusive bio-sensor, and intelligent medicine box|http://ieeexplore.ieee.org/abstract/document/6747344/|http://www.diva-portal.org/smash/get/diva2:833968/FULLTEXT01.pdf|151
s3aNpzBoRewJ|HTML_HTML_Technologies_and_Architectures_of_the_Internet_of_Things_IoT_for_Health_and_Well_being|Technologies and Architectures of the Internet-of-Things (IoT) for Health and Well-being|http://www.diva-portal.org/smash/record.jsf?pid=diva2:621384|http://www.diva-portal.org/smash/record.jsf?pid=diva2:621384|78
Q4dm6eUc1kEJ|Towards_metrics_driven_adaptive_security_management_in_e_health_IoT_applications|Towards metrics-driven adaptive security management in e-health IoT applications|https://dl.acm.org/citation.cfm?id=2442753|http://asset.nr.no/asset/images/5/5a/SeTTIT2012_Savola_Abie_Sihvonen.pdf|26
_aEqwrTxGiUJ|Opportunities_and_challenges_of_the_Internet_of_Things_for_healthcare_Systems_engineering_perspective|Opportunities and challenges of the Internet of Things for healthcare: Systems engineering perspective|http://ieeexplore.ieee.org/abstract/document/7015961/||33
Nc3s-0Z6ZJkJ|Security_and_privacy_mechanism_for_health_internet_of_things|Security and privacy mechanism for health internet of things|https://www.sciencedirect.com/science/article/pii/S1005888513602198||16
3aH3yGfDTW0J|Metrics_driven_security_objective_decomposition_for_an_e_health_application_with_adaptive_security_management|Metrics-driven security objective decomposition for an e-health application with adaptive security management|https://dl.acm.org/citation.cfm?id=2523507||23
r_Q9s5KxhIEJ|Enabling_the_IoT_paradigm_in_e_health_solutions_through_the_VIRTUS_middleware|Enabling the IoT paradigm in e-health solutions through the VIRTUS middleware|http://ieeexplore.ieee.org/abstract/document/6296229/||44
R-yo3LlExIsJ|PDF_PDF_Smart_health_care_system_using_internet_of_things|Smart health care system using internet of things|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|http://www.jncet.org/Manuscripts/Volume-6/Issue-3/Vol-6-issue-3-M-10.pdf|13
_BtyShaOL70J|The_internet_of_things_for_resident_health_information_service_platform_research|The internet of things for resident health information service platform research|http://digital-library.theiet.org/content/conferences/10.1049/cp.2011.0745||10
g58EZls4pqcJ|Ieee_11073_and_connected_health_Preparing_personal_health_devices_for_the_internet|Ieee 11073 and connected health: Preparing personal health devices for the internet|http://ieeexplore.ieee.org/abstract/document/6776001/||7
s3aNpzBoRewJ|HTML_HTML_Technologies_and_Architectures_of_the_Internet_of_Things_IoT_for_Health_and_Well_being|Technologies and Architectures of the Internet-of-Things (IoT) for Health and Well-being|http://www.diva-portal.org/smash/record.jsf?pid=diva2:621384|http://www.diva-portal.org/smash/record.jsf?pid=diva2:621384|78
